year,iva,country
2000,2.64E+11,Brazil
2001,2.62E+11,Brazil
2002,2.72E+11,Brazil
2003,2.72E+11,Brazil
2004,2.95E+11,Brazil
2005,3.01E+11,Brazil
2006,3.07E+11,Brazil
2007,3.26E+11,Brazil
2008,3.39E+11,Brazil
2009,3.23E+11,Brazil
2010,3.56E+11,Brazil
2011,3.71E+11,Brazil
2012,3.68E+11,Brazil
2013,3.76E+11,Brazil
2014,3.70E+11,Brazil
2015,3.49E+11,Brazil
2016,3.33E+11,Brazil
2017,3.31E+11,Brazil
2018,3.34E+11,Brazil
2019,3.31E+11,Brazil
2020,3.20E+11,Brazil
2021,3.35E+11,Brazil
2000,1.03E+12,China
2001,1.12E+12,China
2002,1.23E+12,China
2003,1.38E+12,China
2004,1.54E+12,China
2005,1.72E+12,China
2006,1.96E+12,China
2007,2.25E+12,China
2008,2.47E+12,China
2009,2.73E+12,China
2010,3.07E+12,China
2011,3.40E+12,China
2012,3.69E+12,China
2013,3.98E+12,China
2014,4.26E+12,China
2015,4.52E+12,China
2016,4.79E+12,China
2017,5.07E+12,China
2018,5.37E+12,China
2019,5.63E+12,China
2020,5.77E+12,China
2021,6.24E+12,China
2000,2.09E+11,India
2001,2.14E+11,India
2002,2.30E+11,India
2003,2.46E+11,India
2004,2.70E+11,India
2005,2.96E+11,India
2006,3.35E+11,India
2007,3.62E+11,India
2008,3.76E+11,India
2009,4.09E+11,India
2010,4.42E+11,India
2011,4.58E+11,India
2012,4.73E+11,India
2013,4.91E+11,India
2014,5.25E+11,India
2015,5.75E+11,India
2016,6.20E+11,India
2017,6.56E+11,India
2018,6.91E+11,India
2019,6.81E+11,India
2020,6.59E+11,India
2021,7.27E+11,India
2000,2.54E+11,Russia
2001,2.69E+11,Russia
2002,2.79E+11,Russia
2003,3.04E+11,Russia
2004,3.33E+11,Russia
2005,3.47E+11,Russia
2006,3.63E+11,Russia
2007,3.80E+11,Russia
2008,3.87E+11,Russia
2009,3.47E+11,Russia
2010,3.70E+11,Russia
2011,3.93E+11,Russia
2012,4.07E+11,Russia
2013,4.09E+11,Russia
2014,4.09E+11,Russia
2015,4.06E+11,Russia
2016,4.13E+11,Russia
2017,4.21E+11,Russia
2018,4.33E+11,Russia
2019,4.39E+11,Russia
2020,4.29E+11,Russia
2021,4.50E+11,Russia
2000,62656359535,South Africa
2001,63631000071,South Africa
2002,65308999872,South Africa
2003,66031421378,South Africa
2004,69051481185,South Africa
2005,72677191343,South Africa
2006,76065440070,South Africa
2007,79653934363,South Africa
2008,80217942636,South Africa
2009,75396546812,South Africa
2010,78860656100,South Africa
2011,80173136451,South Africa
2012,80812357979,South Africa
2013,82365780095,South Africa
2014,81866617967,South Africa
2015,82282235250,South Africa
2016,81718168407,South Africa
2017,81376221664,South Africa
2018,82063849706,South Africa
2019,80698626868,South Africa
2020,70537828894,South Africa
2021,74896921846,South Africa
